# cfgfile = prep/Shapes_garpos.shapes-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
22,S01,L01,M12,3.6809088,-1.3641073242767886e-08,47.365502302849706,-1.067489300398477e-05,False,1210,21.01785,499.55805,0.0,-2.89,-3.02,-2.48,1213.6809088,21.01785,499.55805,0.0,2.95,0.49,1.92,-0.016460459341438246,3.4226612166528264e-05,0.00041479938053248636,-0.00013087945044423777,-0.00024646822938191126,-0.015830936647635067,-3.705898143913089e-09
23,S01,L01,M13,3.123183,1.574152924370544e-08,36.9816630222638,-1.106835728766769e-05,False,1210,21.01785,499.55805,0.0,-2.89,-3.02,-2.48,1213.123183,21.01785,499.55805,0.0,-1.33,0.7,-1.26,-0.016460464269311623,3.422477965472882e-05,0.00041480648122298744,-0.00013088897851894804,-0.0002464713335440583,-0.01641444677235166,5.040219935859014e-09
24,S01,L01,M11,3.3300113,-8.482303838019595e-09,41.40801402388382,-1.1133364807838906e-05,False,1240,24.01823,499.42279,0.0,-1.31,0.9,1.13,1243.3300113,24.01823,499.42279,0.0,-0.16,1.48,-0.8,-0.01645993266869457,3.4422600624089266e-05,0.00041403993924293256,-0.00012986078106790413,-0.00024613683981297425,-0.01651085335301399,-2.5472297604522964e-09
25,S01,L01,M12,3.6815745,-1.614844607309836e-08,47.3750479169546,-1.0675424333035996e-05,False,1240,24.01823,499.42279,0.0,-1.31,0.9,1.13,1243.6815745,24.01823,499.42279,0.0,-0.12,1.89,2.84,-0.016459929567388912,3.442375575386327e-05,0.00041403546306386263,-0.000129854780009702,-0.00024613489133729755,-0.01583172461211826,-4.386287999480487e-09
26,S01,L01,M13,3.1252337,-7.233467905678066e-09,37.03161184882808,-1.1068725493275147e-05,False,1240,24.01823,499.42279,0.0,-1.31,0.9,1.13,1243.1252337,24.01823,499.42279,0.0,0.22,-1.2,0.96,-0.016459934475163168,3.442192778726523e-05,0.00041404254651409954,-0.00012986427657675308,-0.0002461379748034139,-0.016414992823693138,-2.3145366456756022e-09
27,S01,L01,M11,3.327359,-1.9447230869427108e-08,41.3561873510225,-1.113206678067988e-05,False,1270,27.01775,499.26951,0.0,6.2,-1.11,0.53,1273.327359,27.01775,499.26951,0.0,-2.46,-0.9,0.76,-0.016459403814276685,3.4619733954861245e-05,0.00041327601949057893,-0.00012883706533877795,-0.00024580500512879516,-0.016508928370186172,-5.844644657138076e-09
28,S01,L01,M12,3.6821877,-3.1681884430151555e-08,47.38384805650344,-1.067595862458802e-05,False,1270,27.01775,499.26951,0.0,6.2,-1.11,0.53,1273.6821877,27.01775,499.26951,0.0,-1.04,2.06,1.24,-0.016459400689816807,3.462089981815217e-05,0.0004132715014523205,-0.00012883101430805386,-0.000245803048081025,-0.01583251697000965,-8.604092827102505e-09
29,S01,L01,M13,3.1273639,7.610380929358171e-08,37.08320178139519,-1.1069098998966087e-05,False,1270,27.01775,499.26951,0.0,6.2,-1.11,0.53,1273.1273639,27.01775,499.26951,0.0,-1.82,4.01,-5.39,-0.016459405575373804,3.461907682939546e-05,0.0004132785660295355,-0.00012884047596496305,-0.00024580610824920815,-0.016415546735093337,2.4334811304926873e-08
30,S01,L01,M11,3.3246932,-1.0535095471698543e-08,41.30393645272429,-1.1130774877033652e-05,False,1300,30.01629,499.09821,0.0,-0.19,0.29,0.72,1303.3246932,30.01629,499.09821,0.0,-2.66,1.0,-2.0,-0.01645887596281634,3.481686800456267e-05,0.0004125120497526272,-0.00012781438152960976,-0.00024547487317267476,-0.016507012468568175,-3.1687421020443196e-09
31,S01,L01,M12,3.6828027,-3.753197938018809e-08,47.392662867142406,-1.0676495679331735e-05,False,1300,30.01629,499.09821,0.0,-0.19,0.29,0.72,1303.6828027,30.01629,499.09821,0.0,-1.46,1.38,1.01,-0.016458872815811248,3.481804465259212e-05,0.00041250748962240257,-0.00012780828114003034,-0.0002454729088981882,-0.015833313425732524,-1.0191145705107374e-08
