# cfgfile = res//lambda/Shapes_garpos.shapes_L-02.0_T1.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
28,S01,L01,M12,3.6821877,-1.1690514107434263e-07,47.38385126800202,-1.0711556712579954e-05,False,1270,27.01775,499.26951,0.0,6.2,-1.11,0.53,1273.6821877,27.01775,499.26951,0.0,-1.04,2.06,1.24,-0.016910687338937865,-0.00013198678752166307,0.0005686945914028664,-0.00023922111778205312,-0.00043279928797683713,-0.015885309169010323,-3.1748827566957516e-08
29,S01,L01,M13,3.1273639,1.484735834378526e-07,37.083221380583154,-1.139839718950763e-05,False,1270,27.01775,499.26951,0.0,6.2,-1.11,0.53,1273.1273639,27.01775,499.26951,0.0,-1.82,4.01,-5.39,-0.016910692613987845,-0.00013199000810914456,0.0005687036727657237,-0.00023921920872290608,-0.0004327963465534242,-0.016903898120975897,4.74756345347771e-08
30,S01,L01,M11,3.3246932,6.282065624937746e-08,41.30397808723441,-1.1532901156711867e-05,False,1300,30.01629,499.09821,0.0,-0.19,0.29,0.72,1303.3246932,30.01629,499.09821,0.0,-2.66,1.0,-2.0,-0.016910120303935624,-0.00013164058046136353,0.0005677183609957365,-0.00023942647077042914,-0.0004331157742799781,-0.017103368390408203,1.8895173647948127e-08
31,S01,L01,M12,3.6828027,-1.1972034644065926e-07,47.39266606803952,-1.0711447907858938e-05,False,1300,30.01629,499.09821,0.0,-0.19,0.29,0.72,1303.6828027,30.01629,499.09821,0.0,-1.46,1.38,1.01,-0.016910116899484032,-0.00013163850174175302,0.0005677124994393465,-0.00023942770480460016,-0.00043311767681071707,-0.015885147810892286,-3.2507944280890655e-08
32,S01,L01,M13,3.1294581,5.5126032724016185e-08,37.13407827136419,-1.139878034160118e-05,False,1300,30.01629,499.09821,0.0,-0.19,0.29,0.72,1303.1294581,30.01629,499.09821,0.0,-2.69,-0.48,-0.34,-0.016910122159986142,-0.00013164171374379976,0.000567721556616113,-0.00023942579800585086,-0.0004331147370740071,-0.016904466338054716,1.761520096454916e-08
33,S01,L01,M11,3.3220243,9.059158659179049e-08,41.25149784080804,-1.1533445622355524e-05,False,1330,33.01375,498.9089,0.0,-2.11,1.93,-0.61,1333.3220243,33.01375,498.9089,0.0,-2.12,1.34,-3.76,-0.016909549949142018,-0.00013129231369321363,0.0005667363201153475,-0.00023963337275356814,-0.0004334348587791368,-0.01710417583654451,2.7269995372947164e-08
34,S01,L01,M12,3.6834257,-9.039697585341271e-08,47.40156066374345,-1.0711343480127097e-05,False,1330,33.01375,498.9089,0.0,-2.11,1.93,-0.61,1333.6834257,33.01375,498.9089,0.0,-0.92,1.64,-2.53,-0.01690954651372107,-0.00013129021586434297,0.0005667304046594766,-0.0002396346203122135,-0.0004334367836112541,-0.015884992943878032,-2.4541549681345032e-08
35,S01,L01,M13,3.1315738,6.375158929411684e-08,37.185170737302855,-1.1399169039286838e-05,False,1330,33.01375,498.9089,0.0,-2.11,1.93,-0.61,1333.1315738,33.01375,498.9089,0.0,-2.26,0.5,0.85,-0.016909551759533625,-0.00013129341920212976,0.0005667394374282732,-0.0002396327153296559,-0.0004334338444615225,-0.01690504277928316,2.035768395525217e-08
36,S01,L01,M11,3.3194213,1.2236045693091312e-07,41.2001747224399,-1.1533995773559337e-05,False,1360,36.01001,498.70159,0.0,0.26,-0.17,-1.3,1363.3194213,36.01001,498.70159,0.0,-3.08,-3.6,5.26,-0.016908979647532657,-0.00013094404647968035,0.0005657542754660689,-0.00023984066832880718,-0.00043375481996862095,-0.01710499171440398,3.6861984908931333e-08
37,S01,L01,M12,3.6840001,-6.557059488270793e-08,47.40975847374543,-1.0711243204950643e-05,False,1360,36.01001,498.70159,0.0,0.26,-0.17,-1.3,1363.6840001,36.01001,498.70159,0.0,1.95,1.99,-4.21,-0.01690897618223261,-0.00013094193020702095,0.0005657483079874198,-0.00023984192948998484,-0.0004337567676509457,-0.015884844235130768,-1.779874969631834e-08
