# cfgfile = res//lambda/Shapes_garpos.shapes_L-01.0_T1.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
29,S01,L01,M13,3.1273639,8.407069099140472e-08,37.08320010052785,-1.1060633913254741e-05,False,1270,27.01775,499.26951,0.0,6.2,-1.11,0.53,1273.1273639,27.01775,499.26951,0.0,-1.82,4.01,-5.39,-0.016467983779905958,2.396428473968895e-05,0.00043824931944237233,-0.00014556174981141703,-0.00025379140159995117,-0.016402992957218178,2.6882286452423187e-08
30,S01,L01,M11,3.3246932,-1.8813545617528573e-09,41.303937540025316,-1.1147908622373247e-05,False,1300,30.01629,499.09821,0.0,-0.19,0.29,0.72,1303.3246932,30.01629,499.09821,0.0,-2.66,1.0,-2.0,-0.01646747327041264,2.418992143931757e-05,0.00043745982845873235,-0.0001446160514666721,-0.00025359171850608753,-0.01653242192577834,-5.658731261348748e-10
31,S01,L01,M12,3.6828027,-4.497239415481961e-08,47.392662826271504,-1.066060450395189e-05,False,1300,30.01629,499.09821,0.0,-0.19,0.29,0.72,1303.6828027,30.01629,499.09821,0.0,-1.46,1.38,1.01,-0.01646747023442751,2.419126373750649e-05,0.0004374551317848659,-0.00014461042839427154,-0.0002535905362794906,-0.015809746707958313,-1.2211458844113565e-08
32,S01,L01,M13,3.1294581,-7.908515759097106e-09,37.13405698987492,-1.1061107208804783e-05,False,1300,30.01629,499.09821,0.0,-0.19,0.29,0.72,1303.1294581,30.01629,499.09821,0.0,-2.69,-0.48,-0.34,-0.016467474925588914,2.418918964128344e-05,0.00043746238900467787,-0.00014461911709606588,-0.0002535923630889457,-0.016403694857636805,-2.5271199022292024e-09
33,S01,L01,M11,3.3220243,2.848600552189897e-08,41.251457277761006,-1.1146771582197678e-05,False,1330,33.01375,498.9089,0.0,-2.11,1.93,-0.61,1333.3220243,33.01375,498.9089,0.0,-2.12,1.34,-3.76,-0.01646696474729951,2.4414809133547795e-05,0.00043667294595132317,-0.00014367437742370757,-0.00025339448996327416,-0.01653073568770752,8.574893850532561e-09
34,S01,L01,M12,3.6834257,-1.8248301225509498e-08,47.40155743225904,-1.0661033549260406e-05,False,1330,33.01375,498.9089,0.0,-2.11,1.93,-0.61,1333.6834257,33.01375,498.9089,0.0,-0.92,1.64,-2.53,-0.016466961685025212,2.4416163775470627e-05,0.0004366682060216565,-0.00014366870849212733,-0.0002533933089146122,-0.015810382984977254,-4.954165633286323e-09
35,S01,L01,M13,3.1315738,2.095766082116301e-09,37.18514945452881,-1.1061585777906566e-05,False,1330,33.01375,498.9089,0.0,-2.11,1.93,-0.61,1333.1315738,33.01375,498.9089,0.0,-2.26,0.5,0.85,-0.01646696636105654,2.4414095267562333e-05,0.00043667544378794983,-0.0001436773648547916,-0.0002533951124145162,-0.01640440457876741,6.692373322181311e-10
36,S01,L01,M11,3.3194213,6.285931487820336e-08,41.200134145024975,-1.1145640340175033e-05,False,1360,36.01001,498.70159,0.0,0.26,-0.17,-1.3,1363.3194213,36.01001,498.70159,0.0,-3.08,-3.6,5.26,-0.016466456464643023,2.4639697914571477e-05,0.0004358860505254295,-0.0001427337493465787,-0.00025319946127459693,-0.016529058048335682,1.893682954889897e-08
37,S01,L01,M12,3.6840001,3.982986937815365e-09,47.40975525249337,-1.066146445950696e-05,False,1360,36.01001,498.70159,0.0,0.26,-0.17,-1.3,1363.6840001,36.01001,498.70159,0.0,1.95,1.99,-4.21,-0.016466453376694293,2.4641064471881328e-05,0.00043588126886155004,-0.00014272803755146265,-0.00025319828476979493,-0.01581102202771159,1.0811582185077384e-09
38,S01,L01,M13,3.1337243,8.420733946587736e-09,37.2369563694476,-1.1062069780774383e-05,False,1360,36.01001,498.70159,0.0,0.26,-0.17,-1.3,1363.1337243,36.01001,498.70159,0.0,-1.27,2.51,-1.01,-0.016466458037484234,2.4639001863243615e-05,0.00043588848604955786,-0.00014273665866528187,-0.000253200060599514,-0.016405122358208835,2.6871329883437767e-09
