,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
2940,S01,L01,M11,3.521762475812041,0.0,0.0,0.0,FALSE,30400,-193.0746210369333,461.2181595638279,0.0,-1.1663678405195947,-4.020179759995576,-0.8343437769535079,30403.52176247581,-193.0746210369333,461.2181595638279,0.0,0.3997053657457405,2.140478855205802,0.7178509082391487
2941,S01,L01,M12,3.600420774607318,0.0,0.0,0.0,FALSE,30400,-193.0746210369333,461.2181595638279,0.0,-1.1663678405195947,-4.020179759995576,-0.8343437769535079,30403.60042077461,-193.0746210369333,461.2181595638279,0.0,1.9357264159517136,-2.6344358217496895,-0.3839670929952928
2942,S01,L01,M13,3.0072560983090293,0.0,0.0,0.0,FALSE,30400,-193.0746210369333,461.2181595638279,0.0,-1.1663678405195947,-4.020179759995576,-0.8343437769535079,30403.00725609831,-193.0746210369333,461.2181595638279,0.0,-2.712699392173856,-1.846870741955176,2.0083390339163065
2943,S01,L01,M11,3.519348829933794,0.0,0.0,0.0,FALSE,30430,-190.300677191013,462.3696056842857,0.0,-0.36417052494569174,-0.6188745349097358,4.133226918853384,30433.519348829934,-190.300677191013,462.3696056842857,0.0,-3.308738249265508,-3.7960887097824885,1.2340749981036538
2944,S01,L01,M12,3.6020214335725314,0.0,0.0,0.0,FALSE,30430,-190.300677191013,462.3696056842857,0.0,-0.36417052494569174,-0.6188745349097358,4.133226918853384,30433.602021433573,-190.300677191013,462.3696056842857,0.0,-1.225319058446839,4.144897491084074,2.3513699515386874
2945,S01,L01,M13,3.0082605415241304,0.0,0.0,0.0,FALSE,30430,-190.300677191013,462.3696056842857,0.0,-0.36417052494569174,-0.6188745349097358,4.133226918853384,30433.008260541523,-190.300677191013,462.3696056842857,0.0,0.3604276475978401,-3.9759708541833167,0.9925046933881642
2946,S01,L01,M11,3.516858910707305,0.0,0.0,0.0,FALSE,30460,-187.5198668455487,463.5043684133168,0.0,-1.7026104494305856,1.2038646483505147,-0.31174876728231,30463.51685891071,-187.5198668455487,463.5043684133168,0.0,-0.919237983624006,1.067872512537904,0.46296392175845097
2947,S01,L01,M12,3.6035207438010985,0.0,0.0,0.0,FALSE,30460,-187.5198668455487,463.5043684133168,0.0,-1.7026104494305856,1.2038646483505147,-0.31174876728231,30463.6035207438,-187.5198668455487,463.5043684133168,0.0,1.2323497256071707,-1.2308590205371712,-0.9863446866244704
2948,S01,L01,M13,3.009297232646098,0.0,0.0,0.0,FALSE,30460,-187.5198668455487,463.5043684133168,0.0,-1.7026104494305856,1.2038646483505147,-0.31174876728231,30463.009297232646,-187.5198668455487,463.5043684133168,0.0,0.5113034185140545,0.5455621301885208,1.3807366160857553
2949,S01,L01,M11,3.5144306628621513,0.0,0.0,0.0,FALSE,30490,-184.73229033877,464.62240680599166,0.0,-1.703117141720778,1.211107020317746,3.7750700057206563,30493.51443066286,-184.73229033877,464.62240680599166,0.0,0.9947634418724349,0.9242812972836125,0.997207062282917
2950,S01,L01,M12,3.6050328616854097,0.0,0.0,0.0,FALSE,30490,-184.73229033877,464.62240680599166,0.0,-1.703117141720778,1.211107020317746,3.7750700057206563,30493.605032861684,-184.73229033877,464.62240680599166,0.0,-0.9185104960526909,-0.5955426234984679,-3.3177301201463965
2951,S01,L01,M13,3.0103438739239303,0.0,0.0,0.0,FALSE,30490,-184.73229033877,464.62240680599166,0.0,-1.703117141720778,1.211107020317746,3.7750700057206563,30493.010343873924,-184.73229033877,464.62240680599166,0.0,0.280028232476154,0.204882357154924,1.2700764129604099
2952,S01,L01,M11,3.511918969910295,0.0,0.0,0.0,FALSE,30520,-181.93804825304537,465.72368052083476,0.0,-1.0902482797441435,0.06430079860491622,-1.30411721331388,30523.51191896991,-181.93804825304537,465.72368052083476,0.0,-0.1331001522395185,1.5147268957398436,0.6993338811462875
2953,S01,L01,M12,3.60653293021447,0.0,0.0,0.0,FALSE,30520,-181.93804825304537,465.72368052083476,0.0,-1.0902482797441435,0.06430079860491622,-1.30411721331388,30523.606532930215,-181.93804825304537,465.72368052083476,0.0,2.432724533442992,0.42933033439781937,-2.4677140138550633
2954,S01,L01,M13,3.011442785006192,0.0,0.0,0.0,FALSE,30520,-181.93804825304537,465.72368052083476,0.0,-1.0902482797441435,0.06430079860491622,-1.30411721331388,30523.011442785006,-181.93804825304537,465.72368052083476,0.0,1.7411682426108266,-0.11162859597554137,3.1383181577910175
2955,S01,L01,M11,3.5093935530595024,0.0,0.0,0.0,FALSE,30550,-179.1372414112533,466.8081498212797,0.0,-0.24819572262896375,-2.156493864293321,-4.599778608987114,30553.50939355306,-179.1372414112533,466.8081498212797,0.0,-1.2348372535649503,-0.5822178923787772,-2.217703815045492
2956,S01,L01,M12,3.60799272559815,0.0,0.0,0.0,FALSE,30550,-179.1372414112533,466.8081498212797,0.0,-0.24819572262896375,-2.156493864293321,-4.599778608987114,30553.6079927256,-179.1372414112533,466.8081498212797,0.0,-0.8131224825755033,-1.0834505031691242,-0.04978602228494726
2957,S01,L01,M13,3.0125948339418205,0.0,0.0,0.0,FALSE,30550,-179.1372414112533,466.8081498212797,0.0,-0.24819572262896375,-2.156493864293321,-4.599778608987114,30553.01259483394,-179.1372414112533,466.8081498212797,0.0,1.935990870840265,-2.447616684371634,-1.2493808898492695
